"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹)
61.99,0.793,61.99,0.494,1001417.5
63.58,0.815,63.58,0.499,986256.5172
65.26,0.834,65.26,0.493,949313.6244
67.02,0.843,67.02,0.487,913133.7644
68.88,0.846,68.88,0.477,870232.1114
70.85,0.84,70.85,0.469,831845.8459
72.93,0.824,72.93,0.454,782275.0938
75.14,0.785,75.14,0.457,764284.1856
77.49,0.742,77.49,0.491,796243.1245
79.99,0.719,79.99,0.529,831055.1388
82.66,0.695,82.66,0.574,872622.3969
85.51,0.675,85.51,0.645,947878.4992
88.56,0.688,88.56,0.706,1001790.611
91.84,0.701,91.84,0.765,1046741.455
95.37,0.726,95.37,0.82,1080468.062
99.19,0.754,99.19,0.861,1090799.99
103.3,0.771,103.3,0.899,1093627.026
107.8,0.781,107.8,0.946,1102763.136
112.7,0.793,112.7,0.996,1110568.335
118.1,0.797,118.1,1.056,1123631.445
124,0.806,124,1.154,1169483.201
125.2,0.82,125.2,1.172,1176340.764
126.5,0.832,126.5,1.185,1177165.943
127.8,0.84,127.8,1.198,1177974.335
129.1,0.847,129.1,1.21,1177793.063
130.5,0.852,130.5,1.225,1179601.839
131.9,0.859,131.9,1.237,1178514.06
133.3,0.861,133.3,1.253,1181219.983
134.8,0.865,134.8,1.269,1182991.418
136.2,0.868,136.2,1.287,1187438.985
137.8,0.872,137.8,1.304,1189154.375
139.3,0.874,139.3,1.324,1194391.579
140.9,0.875,140.9,1.346,1200449.599
142.5,0.877,142.5,1.375,1212544.533
144.2,0.885,144.2,1.403,1222650.345
145.9,0.894,145.9,1.433,1234243.255
147.6,0.909,147.6,1.458,1241312.219
149.4,0.919,149.4,1.486,1249908.081
151.2,0.934,151.2,1.512,1256637.061
151.3,0.947,151.3,1.539,1278231.618
155,0.96,155,1.566,1269608.799
156.9,0.973,156.9,1.594,1276659.959
159,0.984,159,1.627,1285879.559
161,1,161,1.664,1298785.137
163.1,1.022,163.1,1.7,1309799.512
165.3,1.046,165.3,1.736,1319734.99
167.5,1.072,167.5,1.771,1328659.245
169.8,1.1,169.8,1.812,1341004.921
172.2,1.136,172.2,1.847,1347856.36
174.6,1.174,174.6,1.882,1354519.444
177.1,1.215,177.1,1.915,1358814.214
179.7,1.261,179.7,1.941,1357335.858
182.3,1.307,182.3,1.966,1355210.347
185.1,1.354,185.1,1.986,1348288.063
187.9,1.402,187.9,1.994,1333546.727
190.7,1.453,190.7,2.01,1324509.96
193.7,1.496,193.7,2.008,1302698.616
196.8,1.526,196.8,1.991,1271323.369
200,1.525,200,1.982,1245327.328
203.3,1.508,203.3,2.005,1239329.714
206.6,1.336,206.6,2.113,1285224.642
208.7,1.318,208.7,2.151,1295173.128
210.1,1.301,210.1,2.183,1305682.392
212.3,1.301,212.3,2.239,1325299.284
