"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹)
310,1.779027,310,1.01457,
313.92404,1.818208,313.92404,1.037776,
317.94873,1.862371,317.94873,1.057607,
322.0779,1.911228,322.0779,1.072799,
326.3158,1.9641,326.3158,1.08205,
330.66666,2.019866,330.66666,1.084158,
335.13513,2.076969,335.13513,1.078206,
339.726,2.133504,339.726,1.063744,
344.44446,2.187402,344.44446,1.040936,
349.29578,2.236675,349.29578,1.01062,
354.2857,2.279681,354.2857,0.974244,
359.4203,2.315333,359.4203,0.933696,
364.70587,2.343209,364.70587,0.891058,
370.14926,2.363545,370.14926,0.848348,
375.75757,2.377134,375.75757,0.807315,
381.53845,2.385162,381.53845,0.769306,
387.5,2.389045,387.5,0.735216,
393.6508,2.390283,393.6508,0.705494,
400,2.390358,400,0.680179,
406.55737,2.390658,406.55737,0.658949,
413.33334,2.392427,413.33334,0.641149,
420.339,2.396715,420.339,0.625814,
427.5862,2.404306,427.5862,0.611673,
435.0877,2.415612,435.0877,0.597173,
442.85715,2.430524,442.85715,0.580553,
450.9091,2.448254,450.9091,0.560007,
459.25925,2.46724,459.25925,0.533987,
467.92453,2.485206,467.92453,0.501596,
476.92307,2.499489,476.92307,0.462979,
486.2745,2.507596,486.2745,0.419491,
496,2.507828,496,0.3735,
506.12244,2.499681,506.12244,0.327852,
516.6667,2.483857,516.6667,0.285216,
527.65955,2.461921,527.65955,0.247597,
539.13043,2.435827,539.13043,0.216165,
551.1111,2.407514,551.1111,0.191363,
563.63635,2.378699,563.63635,0.173168,
576.7442,2.350869,576.7442,0.161395,
590.4762,2.325514,590.4762,0.155977,
604.87805,2.304729,604.87805,0.157194,
620,2.292818,620,0.165521,
635.89746,2.300443,635.89746,0.17844,
652.6316,2.345131,652.6316,0.169476,
670.27026,2.371452,670.27026,0.077661,
688.8889,2.298324,688.8889,0.00671,
708.5714,2.230112,708.5714,0,
729.41174,2.187501,729.41174,0,
751.51514,2.158486,751.51514,0,
775,2.136407,775,0,
800,2.118294,800,0,
826.6667,2.10273,826.6667,0,
855.1724,2.088967,855.1724,0,
885.7143,2.076571,885.7143,0,
918.5185,2.065265,918.5185,0,
953.8461,2.054862,953.8461,0,
992,2.045228,992,0,
1033.3334,2.036261,1033.3334,0,
1078.2609,2.02788,1078.2609,0,
1127.2727,2.02002,1127.2727,0,
1180.9524,2.012628,1180.9524,0,
1240,2.005658,1240,0,
1305.2632,1.999073,1305.2632,0,
1377.7778,1.992839,1377.7778,0,
1458.8235,1.986925,1458.8235,0,
1550,1.981308,1550,0,
1653.3334,1.975964,1653.3334,0,
1771.4286,1.970872,1771.4286,0,
1907.6923,1.966014,1907.6923,0,
2066.6667,1.961375,2066.6667,0,
